rera_no,project_name,promoter,location,district,pincode,state,last_modified,source
P52100004785,RAISONI ROYALLE,RAISONI BUILDARS,Haveli,Pune,411018,MAHARASHTRA,2020-06-13,maharera
P52100002591,KAMALRAJ PARIJAT A BUILDING,KAMALRAJ ASSOCIATES,Haveli,Pune,411015,MAHARASHTRA,2019-01-14,maharera
P52000012631,SARAH CASTLE,HOMECRAFT BUILDERS AND DEVELOPERS,Uran,Raigarh,410206,MAHARASHTRA,2020-06-16,maharera
P52100001549,REVELL ORCHID PHASE III BUILDING E,ABHAY INDRABHAN FULFAGAR,Haveli,Pune,411047,MAHARASHTRA,2017-07-28,maharera
P52100002402,Allure,Dreamland Venture,Haveli,Pune,412207,MAHARASHTRA,2021-09-08,maharera
P52000002535,GOLD VALLEY KONKAN SECT C,GOKA ENGINEERING COMPANY PVT LTD,Mangaon,Raigarh,402308,MAHARASHTRA,2017-08-01,maharera
P51700000445,SHANKHESHWAR PLATINUM-PHASE 1,SHANKHESHWAR KREATERS,Kalyan,Thane,421301,MAHARASHTRA,2017-07-18,maharera
P52100003114,Vishwakarma Business centre,White Castle Realty,Pune City,Pune,411002,MAHARASHTRA,2019-10-19,maharera
P52100005793,PANORAMA PAHSE 4,JEWEL HOUSING,Pune City,Pune,411016,MAHARASHTRA,2018-11-20,maharera
P52100002239,MOUNTAIN RAGA,ALACRITY DEVELOPERS PROMOTERS AND BUILDERS,Haveli,Pune,412308,MAHARASHTRA,2018-10-03,maharera
P52100003255,Siddhi Samruddhi,SANGHVI DEVELOPERS,Haveli,Pune,411046,MAHARASHTRA,2023-02-22,maharera
P52100001471,Nayantara Heights,United Buildcon,Pune City,Pune,411037,MAHARASHTRA,2021-09-09,maharera
P51800000759,AMBAJI NIKETAN CO-OP. HOUSING SOCIETY LTD.,BHOLENATH DEVELOPERS LTD.,Kurla,Mumbai Suburban,400089,MAHARASHTRA,2020-06-13,maharera
P52100001213,Mantra Magic Phase 2,MANTRA ISLAND HOMES CHIMBLI PRIVATE LIMITED,Khed,Pune,410501,MAHARASHTRA,2020-12-14,maharera
P52100000971,NANDAN ASPIRA,SHAMKANT KESHAV KOTKAR,Pune City,Pune,411007,MAHARASHTRA,2020-06-17,maharera
P51700000724,PARSHVA AANGAN,SONALI MEHUL DOSHI,Uran,Raigarh,400702,MAHARASHTRA,2017-07-23,maharera
P52000000597,Nirman - Dinesh,Nirman Construction,Roha,Raigarh,402109,MAHARASHTRA,2017-07-18,maharera
P51700003704,BAMUBAI SADAN,SAMARTH DEVELOPERS,Kalyan,Thane,421202,MAHARASHTRA,2021-09-09,maharera
P51800001768,CELESTIAL,SU SHARDA EDIFICE LLP,Kurla,Mumbai Suburban,400078,MAHARASHTRA,2021-08-17,maharera
P53100002172,SHIVDATTA PRASAD,SHIVDATTA BUILDERS & CONTRACTORS,Miraj,Sangli,416416,MAHARASHTRA,2017-07-31,maharera
P51800003279,SHREE GANESH RACHANA,RAJAN CHANDRAKANT TIPNIS HUF,Kurla,Mumbai Suburban,400081,MAHARASHTRA,2017-08-05,maharera
P51800000947,EKTA TRIPOLIS PHASE I,EKTA EVERGLADE HOMES PRIVATE LIMITED,Borivali,Mumbai Suburban,400104,MAHARASHTRA,2023-04-12,maharera
P51800001404,SRISHTI HARMONY III- PHASE 1,NATHAN PROPERTIES PVT LTD,Kurla,Mumbai Suburban,400072,MAHARASHTRA,2017-07-28,maharera
P52100006336,GODS COUNTY A WING,GANESHCONSTRUCTION,Khed,Pune,412105,MAHARASHTRA,2024-01-31,maharera
P52100002505,CANARY FARMS,CANARY FARMS,Mulshi,Pune,410401,MAHARASHTRA,2017-08-01,maharera
P51800005568,Rosalia Apartments,Kusum Associates,Andheri,Mumbai Suburban,400058,MAHARASHTRA,2023-01-24,maharera
P52100009463,SHIVSAHYADRI,NANDANVAN DEVELOPERS,Junnar,Pune,410502,MAHARASHTRA,2017-08-22,maharera
P52100013191,Renuka Pride,Dhairyasheel Murlidhar Taware,Baramati,Pune,413102,MAHARASHTRA,2017-09-18,maharera
P52100000954,NYATI ETERNITY COMMERCIAL I,NITIN DWARKADAS NYATI,Haveli,Pune,411060,MAHARASHTRA,2017-07-25,maharera
P52100001444,Millenium One,Millenium Construction,Pune City,Pune,411007,MAHARASHTRA,2017-07-28,maharera
P52100002115,Elina Phase 1,Trimurti Development Company,Mulshi,Pune,411021,MAHARASHTRA,2017-07-31,maharera
P52000002200,PRAJAPATI VIHAR,PRAJAPATI CONSTRUCTIONS LIMITED,Uran,Raigarh,400702,MAHARASHTRA,2017-07-31,maharera
P51700000431,Panvelkar Estate - Rockford,Vijay Ramchandra Panvelkar,Ambarnath,Thane,421503,MAHARASHTRA,2017-07-17,maharera
P52100002638,Canrich Arcade,Canrich Builders LLP,Pune City,Pune,411001,MAHARASHTRA,2017-08-02,maharera
P51900001725,Lifescapes Mirage,Rohan Developers Pvt. Ltd.,Ward GNorth,Mumbai City,400016,MAHARASHTRA,2018-01-15,maharera
