building_id,canonical_name,alias_added,reason,rule_triggered,confidence,resolved_by,timestamp
3947,Prestige Gardens,Prestige,✓ High name similarity 90%; ✓ Same area: Thane West; ✓ Same developer: Prestige Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
0,Prestige,Prestige Valley,✓ High name similarity 90%; ✓ Same area: Thane West; ✓ Same developer: Prestige Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
1397,Rivali Park,Rivali Park D,✓ High name similarity 92%; ✓ Same area: Borivali East; ✓ Same developer: Rivali Park; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
1397,Rivali Park,Rivali Park F,✓ High name similarity 92%; ✓ Same area: Borivali East; ✓ Same developer: Rivali Park; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
1397,Rivali Park D,Rivali Park F,✓ High name similarity 92%; ✓ Same area: Borivali East; ✓ Same developer: Rivali Park; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
783,Versova Heaven,Versova Heavens,✓ High name similarity 97%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
510,Morya Landmark I,Morya Landmark II,✓ High name similarity 97%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
576,Platinium Casa Divine,Platinum Casa Divine,✓ High name similarity 98%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
577,Platinum Casa Millenia,Platinum Casa Millennia,✓ High name similarity 98%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
618,Remi Biz Court,Remi Bizcourt,✓ High name similarity 96%; ✓ Same area: Andheri West; ✓ Same developer: Remi Group; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,100,AI,2026-06-26
214,Arshi Complex,Arshie Complex,✓ High name similarity 96%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
3558,Ariisto Sapphire,Aristo Sapphire,✓ High name similarity 97%; ✓ Same area: Santacruz West; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
219,Ashtavinayak CHS,Astavinayak,✓ High name similarity 96%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
941,Ashiana,Ashiana Glaxo,✓ High name similarity 90%; ✓ Same area: Bandra West; ✓ Same developer: Ashiana Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
3414,Bay View Terraces,Bayview Terraces,✓ High name similarity 97%; ✓ Same area: Prabhadevi; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
2789,Blue Mountain,Blue Mountains,✓ High name similarity 96%; ✓ Same area: Malad East; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
2855,Blu Horizon,Blue Horizon,✓ High name similarity 96%; ✓ Same area: Malad West; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
258,Chitralekha Haritage,Chitralekha Heritage,✓ High name similarity 95%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
272,Crescent Royal,Crescent Royale,✓ High name similarity 97%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
326,Evershine Green Tower,Evershine Greens,✓ High name similarity 97%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
1907,Garden Estate,Garden Estates,✓ High name similarity 96%; ✓ Same area: Goregaon West; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
2233,Gaurav Garden,Gaurav Gardens,✓ High name similarity 96%; ✓ Same area: Kandivali West; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
69,Green Woods,Greenwoods CHS,✓ High name similarity 95%; ✓ Same area: Andheri East; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
2048,Green Field Society,Green Fields Society,✓ High name similarity 97%; ✓ Same area: Juhu; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
372,Gurukrupa Dhayanam,Gurukrupa Dhyanam,✓ High name similarity 97%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
3886,Hiranandani Meadows,"Hiranandani Meadows, Manpada",✓ High name similarity 90%; ✓ Same area: Thane West; ✓ Same developer: Hiranandani Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
73,Hub Town Solaris,Hubtown Solaris,✓ High name similarity 97%; ✓ Same area: Andheri East; ~ Partial developer info; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,88,AI,2026-06-26
384,Hubtown Premier,Hubtown Premiere,✓ High name similarity 97%; ✓ Same area: Andheri West; ✓ Same developer: Hubtown; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,100,AI,2026-06-26
384,Hubtown Premier,Hubtown Premiere Residences,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same developer: Hubtown; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
384,Hubtown Premier,Hubtown Premiere Residence,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same developer: Hubtown; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
384,Hubtown Premiere,Hubtown Premiere Residences,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same developer: Hubtown; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
384,Hubtown Premiere,Hubtown Premiere Residence,✓ High name similarity 90%; ✓ Same area: Andheri West; ✓ Same developer: Hubtown; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
384,Hubtown Premiere Residences,Hubtown Premiere Residence,✓ Name similarity 98%; ✓ Same area: Andheri West; ✓ Same developer: Hubtown; ✓ Same coordinates (0.0km apart),Rule 1: name>=98% / same area / same developer,100,AI,2026-06-26
2892,Metro Millenium,Metro Millennium,✓ High name similarity 97%; ✓ Same area: Malad West; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
493,Millenium Court,Millennium Court,✓ High name similarity 97%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
1179,Nibbana Annex,Nibbana Annexe,✓ High name similarity 96%; ✓ Same area: Bandra West; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
106,Oberoi Garden,Oberoi Garden Estate,✓ High name similarity 90%; ✓ Same area: Andheri East; ✓ Same developer: Oberoi Realty; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
109,Oberoi Splendor,Oberoi Splendor Grande,✓ High name similarity 90%; ✓ Same area: Andheri East; ✓ Same developer: Oberoi Realty; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
538,Oberoi Sky Heights,Oberoi Skyheights,✓ High name similarity 97%; ✓ Same area: Andheri West; ✓ Same developer: Oberoi Realty; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,100,AI,2026-06-26
539,Oberoi Spring,Oberoi Springs,✓ High name similarity 96%; ✓ Same area: Andheri West; ✓ Same developer: Oberoi Realty; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,100,AI,2026-06-26
2804,Omkar Alta Monte,Omkar Alta Monte Tower A,✓ High name similarity 94%; ✓ Same area: Malad East; ✓ Same developer: Omkar Realtors; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
557,Paradigm Antalia,Paradigm Antaliya,✓ High name similarity 97%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
0,Paradigm Antaliya,Paradigm Antalya,✓ High name similarity 97%; ✓ Same area: Andheri West; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
574,Peninsula Park,Peninsular Park,✓ High name similarity 97%; ✓ Same area: Andheri West; ✓ Same developer: Peninsula Group; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,100,AI,2026-06-26
1506,Piramal Aarav,Piramal Arav,✓ High name similarity 96%; ✓ Same area: Byculla; ✓ Same developer: Piramal Realty; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,100,AI,2026-06-26
1507,Piramal Aranya,Piramal Aranya Ahan,✓ High name similarity 90%; ✓ Same area: Byculla; ✓ Same developer: Piramal Realty; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
1507,Piramal Aranya,Piramal Aranya Arav,✓ High name similarity 90%; ✓ Same area: Byculla; ✓ Same developer: Piramal Realty; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
1507,Piramal Aranya,Piramal Aranya Avyan,✓ High name similarity 90%; ✓ Same area: Byculla; ✓ Same developer: Piramal Realty; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
1507,Piramal Aranya Ahan,Piramal Aranya Avyan,✓ High name similarity 92%; ✓ Same area: Byculla; ✓ Same developer: Piramal Realty; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
2756,Piramal Mahalaxmi,Piramal Mahalaxmi Central,✓ High name similarity 90%; ✓ Same area: Mahalakshmi; ✓ Same developer: Piramal Realty; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
2756,Piramal Mahalaxmi,Piramal Mahalaxmi North,✓ High name similarity 90%; ✓ Same area: Mahalakshmi; ✓ Same developer: Piramal Realty; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
2756,Piramal Mahalaxmi,Piramal Mahalaxmi South,✓ High name similarity 90%; ✓ Same area: Mahalakshmi; ✓ Same developer: Piramal Realty; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
2756,Piramal Mahalaxmi North,Piramal Mahalaxmi South,✓ High name similarity 91%; ✓ Same area: Mahalakshmi; ✓ Same developer: Piramal Realty; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
3942,Piramal Vaikunth,Piramal Vaikunth Vairat,✓ High name similarity 90%; ✓ Same area: Thane West; ✓ Same developer: Piramal Realty; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
3942,Piramal Vaikunth,Piramal Vaikunth Vyan,✓ High name similarity 90%; ✓ Same area: Thane West; ✓ Same developer: Piramal Realty; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
1856,Raheja Heights,Raheja Heights Wing E,✓ High name similarity 90%; ✓ Same area: Goregaon East; ✓ Same developer: K. Raheja Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
2760,Raheja Vivarea,Raheja Vivarea Tower E,✓ High name similarity 93%; ✓ Same area: Mahalakshmi; ✓ Same developer: K. Raheja Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
2806,Raheja,Raheja Township,✓ High name similarity 90%; ✓ Same area: Malad East; ✓ Same developer: K. Raheja Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
2904,Raheja Exotica,Raheja Exotica Cyprus,✓ High name similarity 90%; ✓ Same area: Malad West; ✓ Same developer: K. Raheja Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
2904,Raheja Exotica,Raheja Exotica Sorento,✓ High name similarity 90%; ✓ Same area: Malad West; ✓ Same developer: K. Raheja Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
2905,Raheja Interface,Raheja Interface Heights,✓ High name similarity 90%; ✓ Same area: Malad West; ✓ Same developer: K. Raheja Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
2906,Raj Infina,Raj Infinia,✓ High name similarity 95%; ✓ Same area: Malad West; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,85,AI,2026-06-26
3364,Raheja Ascencio,Raheja Ascensio,✓ High name similarity 93%; ✓ Same area: Powai; ✓ Same developer: K. Raheja Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
908,Rustomjee Seasons,Rustomjee Seasons - Wing D,✓ High name similarity 90%; ✓ Same area: Bandra East; ✓ Same developer: Rustomjee Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
2115,Rustomjee,Rustomjee Elements,✓ High name similarity 90%; ✓ Same area: Juhu; ✓ Same developer: Rustomjee Group; ✓ Same coordinates (0.0km apart),Score 100 / same area,100,AI,2026-06-26
2266,Ruparel Sky Green,Ruparel Sky Greens,✓ High name similarity 97%; ✓ Same area: Kandivali West; ✓ Same developer: Ruparel Group; ✓ Same coordinates (0.0km apart),Rule 3: name>=95% / same area / same coords,100,AI,2026-06-26
