building,location,bhk,sqft,furnishing,price,listed_date,source
Sai Symphony,Kharghar,1 BHK,,Fully Furnished,₹55000,Listed 29 May 2026 · 04:00 AM,propi_in
Crescent Silverwoods,Powai,2 BHK,,Semi-Furnished,₹70000,Listed 29 May 2026 · 04:00 AM,propi_in
Lodha Luxuria Priva,Thane West,3 BHK,1100 sqft,Fully Furnished,₹2.65 Cr,Listed 29 May 2026 · 04:00 AM,propi_in
JP North,Mira Road,1 BHK,,Semi-Furnished,₹65 L,Listed 29 May 2026 · 04:00 AM,propi_in
Godrej Prime,Chembur,2 BHK,737 sqft,Semi-Furnished,₹70000,Listed 29 May 2026 · 04:00 AM,propi_in
Manjari Arcade,Chembur,2 BHK,,Semi-Furnished,₹70000,Listed 29 May 2026 · 04:00 AM,propi_in
Millenium Court,Andheri West,1.5 BHK,,Semi-Furnished,₹1.30 Cr,Listed 29 May 2026 · 04:00 AM,propi_in
Acme Ozone,Thane West,4 BHK,,Semi-Furnished,₹60000,Listed 29 May 2026 · 04:00 AM,propi_in
Hiranandani Lake Enclave Glenwood,Thane West,3 BHK,,Semi-Furnished,₹3.30 Cr,Listed 29 May 2026 · 04:00 AM,propi_in
Rustomjee 9,Juhu,1 BHK,,Semi-Furnished,₹1.10 Cr,Listed 29 May 2026 · 04:00 AM,propi_in
Neelkanth Greens,Thane West,2 BHK,,Semi-Furnished,₹1.85 Cr,Listed 29 May 2026 · 04:00 AM,propi_in
Casa Ultima,Thane West,2.5 BHK,850 sqft,Semi-Furnished,₹1.80 Cr,Listed 29 May 2026 · 04:00 AM,propi_in
Soham Gardens,Thane West,4 BHK,,Semi-Furnished,₹6.80 Cr,Listed 29 May 2026 · 04:00 AM,propi_in
Acme Ozone,Thane West,4 BHK,,Semi-Furnished,₹2.75 Cr,Listed 29 May 2026 · 04:00 AM,propi_in
Wadhwa,Ghatkopar West,3 BHK,1300 sqft,Semi-Furnished,₹3.50 Cr,Listed 29 May 2026 · 04:00 AM,propi_in
Tata Serein,Thane West,3 BHK,1168 sqft,Semi-Furnished,₹3.10 Cr,Listed 29 May 2026 · 04:00 AM,propi_in
Wadhwa Solitaire,Powai,2.5 BHK,,Semi-Furnished,₹1.45 Cr,Listed 29 May 2026 · 04:00 AM,propi_in
Prakruti Pearl,Thane West,1 BHK,435 sqft,Semi-Furnished,₹87 L,Listed 29 May 2026 · 04:00 AM,propi_in
Dosti West County Heron,Thane West,3 BHK,,Semi-Furnished,₹70000,Listed 29 May 2026 · 04:00 AM,propi_in
Acme Ozone,Thane West,4.5 BHK,,Unfurnished,₹2.75 Cr,Listed 29 May 2026 · 04:00 AM,propi_in
Dosti Majesta,Thane West,4 BHK,,Semi-Furnished,₹4.75 Cr,Listed 29 May 2026 · 04:00 AM,propi_in
Square Mall,Bandra West,3 BHK,,Semi-Furnished,₹1.95 Cr,Listed 29 May 2026 · 04:00 AM,propi_in
Crystal Spires,Thane West,3 BHK,,Unfurnished,₹3.50 Cr,Listed 29 May 2026 · 04:00 AM,propi_in
Dosti Imperia,Thane West,3 BHK,,Unfurnished,₹2.65 Cr,Listed 29 May 2026 · 04:00 AM,propi_in
Dosti Imperia,Thane West,2 BHK,,Semi-Furnished,₹1.85 Cr,Listed 29 May 2026 · 04:00 AM,propi_in
Lalani Residency,Thane West,3 BHK,,Semi-Furnished,₹56000,Listed 29 May 2026 · 04:00 AM,propi_in
Piramal Vaikunth Vairat,Thane West,2 BHK,558 sqft,Semi-Furnished,₹1.27 Cr,Listed 29 May 2026 · 04:00 AM,propi_in
Runwal Estate,Thane West,2 BHK,750 sqft,Semi-Furnished,₹1.25 Cr,Listed 29 May 2026 · 04:00 AM,propi_in
Palacia,Thane West,2 BHK,,Semi-Furnished,₹90 L,Listed 29 May 2026 · 04:00 AM,propi_in
The Signature,Nerul,3 BHK,1134 sqft,Semi-Furnished,₹3.50 Cr,Listed 29 May 2026 · 04:00 AM,propi_in
Rosa Oasis,Thane West,2.5 BHK,850 sqft,Fully Furnished,₹55000,Listed 29 May 2026 · 02:00 AM,propi_in
Prakruti Pearl,Thane West,3.5 BHK,,Semi-Furnished,₹75000,Listed 29 May 2026 · 02:00 AM,propi_in
Hiranandani Heritage,Powai,4 BHK,1200 sqft,Semi-Furnished,₹2 L,Listed 29 May 2026 · 02:00 AM,propi_in
Dukes Horizon,Chembur,3 BHK,835 sqft,Semi-Furnished,₹3.30 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Cosmos Park I,Thane West,1 BHK,,Semi-Furnished,₹75 L,Listed 29 May 2026 · 02:00 AM,propi_in
Swastik Plaza,Thane West,,580 sqft,Semi-Furnished,₹1.80 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Hiranandani Atlantis,Powai,2 BHK,382 sqft,Semi-Furnished,₹1.50 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Cosmopolitan,Powai,2 BHK,,Semi-Furnished,₹62000,Listed 29 May 2026 · 02:00 AM,propi_in
Tata Symphony,Powai,2 BHK,,Unfurnished,₹75000,Listed 29 May 2026 · 02:00 AM,propi_in
Oakland Park,Andheri West,2 BHK,730 sqft,Semi-Furnished,₹2.35 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Mayfair The View,Vikhroli,2 BHK,650 sqft,Semi-Furnished,₹1.75 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Shamik Odyssey,Vile Parle East,2 BHK,,Semi-Furnished,₹60000,Listed 29 May 2026 · 02:00 AM,propi_in
Mayfair Hillcrest,Vikhroli,2 BHK,666 sqft,Semi-Furnished,₹88000,Listed 29 May 2026 · 02:00 AM,propi_in
Kalpataru Aura,Ghatkopar West,2 BHK,862 sqft,Semi-Furnished,₹83000,Listed 29 May 2026 · 02:00 AM,propi_in
Amaryllis,Powai,3 BHK,807 sqft,Semi-Furnished,₹3.20 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Mayfair Hillcrest,Vikhroli,2 BHK,710 sqft,Semi-Furnished,₹2.10 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Vasukamal,Bandra West,3 BHK,1040 sqft,Semi-Furnished,₹3.40 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Wadhwa Atmosphere,Mulund West,2 BHK,743 sqft,Semi-Furnished,₹60000,Listed 29 May 2026 · 02:00 AM,propi_in
Raheja Vistas,Powai,2.5 BHK,1100 sqft,Semi-Furnished,₹1 L,Listed 29 May 2026 · 02:00 AM,propi_in
Zen Atlantis,Powai,2 BHK,764 sqft,Semi-Furnished,₹1 L,Listed 29 May 2026 · 02:00 AM,propi_in
Powai Vihar Complex,Powai,2 BHK,,Fully Furnished,₹62000,Listed 29 May 2026 · 02:00 AM,propi_in
Sapphire Lakeside,Powai,2 BHK,476 sqft,Semi-Furnished,₹1.75 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Wadhwa Solitaire,Powai,2.5 BHK,,Semi-Furnished,₹1 L,Listed 29 May 2026 · 02:00 AM,propi_in
Runwal Forest,Kanjur Marg,1.5 BHK,471 sqft,Fully Furnished,₹58000,Listed 29 May 2026 · 02:00 AM,propi_in
Octavius,Powai,2 BHK,,Semi-Furnished,₹2 L,Listed 29 May 2026 · 02:00 AM,propi_in
Castle Rock,Powai,3 BHK,,Semi-Furnished,₹2 L,Listed 29 May 2026 · 02:00 AM,propi_in
Sapphire Lakeside,Powai,1.5 BHK,480 sqft,Semi-Furnished,₹50000,Listed 29 May 2026 · 02:00 AM,propi_in
Hiranandani Lighthall,Powai,3 BHK,,Fully Furnished,₹2 L,Listed 29 May 2026 · 02:00 AM,propi_in
Vicinia,Powai,3.5 BHK,1545 sqft,Fully Furnished,₹2 L,Listed 29 May 2026 · 02:00 AM,propi_in
Elixir Reserve,Powai,4 BHK,1700 sqft,Semi-Furnished,₹3 L,Listed 29 May 2026 · 02:00 AM,propi_in
Powai Park,Powai,4 BHK,1700 sqft,Semi-Furnished,₹9.00 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Ambrosia Tower,Borivali East,2.5 BHK,,Semi-Furnished,₹3.50 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Man Opus,Mira Road,2 BHK,,Semi-Furnished,₹97 L,Listed 29 May 2026 · 02:00 AM,propi_in
Challenger Tower,Kandivali East,3 BHK,,Semi-Furnished,₹75000,Listed 29 May 2026 · 02:00 AM,propi_in
Dattani Park,Kandivali East,1.5 BHK,,Fully Furnished,₹50000,Listed 29 May 2026 · 02:00 AM,propi_in
Maple Leaf,Powai,3 BHK,,Semi-Furnished,₹6.10 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Woodland Heights,Powai,1 BHK,,Fully Furnished,₹55000,Listed 29 May 2026 · 02:00 AM,propi_in
Silver Crest,Khandeshwar,2 BHK,700 sqft,Unfurnished,₹1.70 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Evershine Sapphire,Powai,3 BHK,1150 sqft,Fully Furnished,₹2.90 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Ambrosia,Powai,3 BHK,2125 sqft,Fully Furnished,₹3 L,Listed 29 May 2026 · 02:00 AM,propi_in
Kanakia Sevens,Andheri East,2 BHK,850 sqft,Semi-Furnished,₹2.70 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Hubtown Sunmist,Andheri East,3 BHK,,Semi-Furnished,₹6.00 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Joy Valencia,Andheri East,2 BHK,832 sqft,Semi-Furnished,₹3.00 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Lodha Bel Air,Jogeshwari,4 BHK,1450 sqft,Semi-Furnished,₹5.60 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Hiranandani Regent Hill,Powai,4 BHK,,Semi-Furnished,₹5 L,Listed 29 May 2026 · 02:00 AM,propi_in
L&T Emerald Isle,Powai,1 BHK,,Fully Furnished,₹1.45 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Synchronicity,Powai,3 BHK,1000 sqft,Semi-Furnished,₹1 L,Listed 29 May 2026 · 02:00 AM,propi_in
Sheth Avante,Kanjur Marg,2 BHK,750 sqft,Unfurnished,₹65000,Listed 29 May 2026 · 02:00 AM,propi_in
Raheja Vihar,Powai,2 BHK,750 sqft,Unfurnished,₹70000,Listed 29 May 2026 · 02:00 AM,propi_in
Golden Rays,Andheri West,1 BHK,,Semi-Furnished,₹60000,Listed 29 May 2026 · 02:00 AM,propi_in
Godrej RKS,Chembur,2.5 BHK,562 sqft,Semi-Furnished,₹2.70 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Lodha Bellagio Tower C,Powai,4 BHK,,Semi-Furnished,₹17.00 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Water Lily & White Lily,Powai,2 BHK,,Fully Furnished,₹75000,Listed 29 May 2026 · 02:00 AM,propi_in
L&T Emerald Isle Tower 10,Powai,4 BHK,,Fully Furnished,₹3 L,Listed 29 May 2026 · 02:00 AM,propi_in
Oberoi Splendor,Andheri East,2.5 BHK,987 sqft,Fully Furnished,₹2 L,Listed 29 May 2026 · 02:00 AM,propi_in
Godrej Urban Park,Powai,1 BHK,430 sqft,Semi-Furnished,₹1.65 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Lodha Bellagio,Powai,3.5 BHK,1373 sqft,Semi-Furnished,₹7.10 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Commerce Centre,Andheri West,,,Semi-Furnished,₹2 L,Listed 29 May 2026 · 02:00 AM,propi_in
Kanakia Zillion,Kurla,3 BHK,1050 sqft,Semi-Furnished,₹4.40 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
L&T Emerald Isle,Powai,2 BHK,650 sqft,Semi-Furnished,₹1 L,Listed 29 May 2026 · 02:00 AM,propi_in
Eldora,Powai,2 BHK,850 sqft,Semi-Furnished,₹1 L,Listed 29 May 2026 · 02:00 AM,propi_in
Mahavir Universe,Bhandup,2 BHK,,Fully Furnished,₹55000,Listed 29 May 2026 · 02:00 AM,propi_in
Park Avenue,Andheri West,2 BHK,,Semi-Furnished,₹57000,Listed 29 May 2026 · 02:00 AM,propi_in
Laxmi Heights,Goregaon West,1 BHK,391 sqft,Semi-Furnished,₹1.15 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Silver Sand,Andheri West,2 BHK,650 sqft,Semi-Furnished,₹1.65 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Vraj One,Andheri West,2 BHK,635 sqft,Semi-Furnished,₹1.90 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Vraj One,Andheri West,1 BHK,390 sqft,Semi-Furnished,₹1.35 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Acme Oasis,Kandivali East,3 BHK,1026 sqft,Semi-Furnished,₹2.90 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Juhu Sameep,Juhu,1 BHK,450 sqft,Fully Furnished,₹1.45 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Juhu Sameep,Juhu,2 BHK,650 sqft,Semi-Furnished,₹2.50 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Vinit Towers,Andheri West,3.5 BHK,,Fully Furnished,₹1 L,Listed 29 May 2026 · 02:00 AM,propi_in
Shreedham Splendour,Andheri West,2 BHK,526 sqft,Semi-Furnished,₹60000,Listed 29 May 2026 · 02:00 AM,propi_in
Creek Crest,Andheri West,2 BHK,,Semi Furnished,₹80000,Listed 29 May 2026 · 02:00 AM,propi_in
Sai Samarth,Khar West,1 BHK,,Semi-Furnished,₹50000,Listed 29 May 2026 · 02:00 AM,propi_in
Sai Samarth,Khar West,2 BHK,,Semi-Furnished,₹80000,Listed 29 May 2026 · 02:00 AM,propi_in
L&T Veridian,Powai,1 BHK,381 sqft,Semi-Furnished,₹1.45 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Lok Milan,Powai,1 BHK,,Semi-Furnished,₹1.25 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Twilight,Powai,1 BHK,,Semi-Furnished,₹1.25 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Sapphire Lakeside,Powai,1 BHK,550 sqft,Semi-Furnished,₹1.50 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Crescent,Bandra West,2 BHK,,Semi-Furnished,₹2.15 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Emerald,Santacruz East,2 BHK,,Semi-Furnished,₹2.60 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Veena Saaz,Kandivali East,2 BHK,,Fully Furnished,₹72000,Listed 29 May 2026 · 02:00 AM,propi_in
Gundecha Greens,Kandivali East,,350 sqft,Semi-Furnished,₹75 L,Listed 29 May 2026 · 02:00 AM,propi_in
VKG Park Estate,Vile Parle East,2 BHK,,Unfurnished,₹58000,Listed 29 May 2026 · 02:00 AM,propi_in
Girdhar Park,Malad West,1 BHK,,Semi-Furnished,₹60000,Listed 29 May 2026 · 02:00 AM,propi_in
Accord,Andheri West,2.5 BHK,,Fully Furnished,₹55000,Listed 29 May 2026 · 02:00 AM,propi_in
Bindra Complex,Andheri East,2 BHK,820 sqft,Semi-Furnished,₹1.80 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Evershine Park,Andheri West,2 BHK,,Fully Furnished,₹65000,Listed 29 May 2026 · 02:00 AM,propi_in
New Mhada,Andheri West,3 BHK,970 sqft,Semi-Furnished,₹3.88 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Shepherd Royal,Goregaon West,2 BHK,,Semi-Furnished,₹2.00 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Samarpan,Bandra West,2 BHK,,Semi-Furnished,₹2 L,Listed 29 May 2026 · 02:00 AM,propi_in
Lotus Trade Centre,Andheri West,,,Fully Furnished,₹10 L,Listed 29 May 2026 · 02:00 AM,propi_in
Shagun,Nerul,4 BHK,,Semi-Furnished,₹8.50 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Vasant Oasis,Andheri East,3 BHK,1124 sqft,Semi-Furnished,₹3.25 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
The Legend,Walkeshwar,,,Semi-Furnished,₹1 L,Listed 29 May 2026 · 02:00 AM,propi_in
The Crest,Dadar West,1 BHK,2285 sqft,Semi-Furnished,₹11.43 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Richmond,Powai,2 BHK,1436 sqft,Semi-Furnished,₹4.25 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
The Park,Andheri West,2 BHK,,Semi-Furnished,₹1 L,Listed 29 May 2026 · 02:00 AM,propi_in
The Crest,Dadar West,4 BHK,3500 sqft,Semi-Furnished,₹24.00 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
The Park,Andheri West,4 BHK,2704 sqft,Semi-Furnished,₹10.50 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Princeton,Powai,2 BHK,983 sqft,Semi-Furnished,₹2.75 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Belmonte,Mahim,3 BHK,2500 sqft,Semi-Furnished,₹7.50 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Abr Signature,Vile Parle East,3 BHK,,Semi-Furnished,₹1.40 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Heritage One,Chembur,4 BHK,2527 sqft,Semi-Furnished,₹5.30 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Heritage,Ghatkopar West,4 BHK,2500 sqft,Semi-Furnished,₹4.25 Cr,Listed 29 May 2026 · 02:00 AM,propi_in
Happy Home,Bandra West,2 BHK,871 sqft,Fully Furnished,₹6.95 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Wellington View,Tardeo,3 BHK,2300 sqft,Semi-Furnished,₹15.00 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Anjali Building,Colaba,2 BHK,,Unfurnished,₹4.65 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Exclusive,Colaba,4 BHK,2180 sqft,Unfurnished,₹11.00 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Fortuna Blue,Lower Parel,1 BHK,536 sqft,Semi-Furnished,₹2.50 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Lady Ratan Tower,Worli,1 BHK,450 sqft,Fully Furnished,₹2.00 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Neumec Elegance,Lower Parel,1.5 BHK,550 sqft,Fully Furnished,₹2.20 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Sethia Link View,Goregaon West,4 BHK,,Semi-Furnished,₹18.75 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Piramal Aranya Avyan,Byculla,4 BHK,2850 sqft,Fully Furnished,₹17.00 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Dariya Mahal,Nepeansea Road,3 BHK,1410 sqft,Semi-Furnished,₹14.00 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Ajay Apartment,Byculla,3 BHK,1185 sqft,Semi-Furnished,₹4.50 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Naman Midtown,Lower Parel,,735 sqft,Semi-Furnished,₹2 L,Listed 29 May 2026 · 12:00 AM,propi_in
Shanti Nagar,Nepeansea Road,2 BHK,768 sqft,Semi-Furnished,₹2 L,Listed 29 May 2026 · 12:00 AM,propi_in
The Baya Victoria,Byculla,2 BHK,553 sqft,Fully Furnished,₹2.30 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Ruparel Ariana,Parel,3 BHK,1226 sqft,Semi-Furnished,₹4.50 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Sun Tower,Parel,3 BHK,888 sqft,Fully Furnished,₹3.40 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Coolshanagh,Breach Candy,2 BHK,,Fully Furnished,₹4 L,Listed 29 May 2026 · 12:00 AM,propi_in
Sagar Mahal,Walkeshwar,1 BHK,500 sqft,Fully Furnished,₹1 L,Listed 29 May 2026 · 12:00 AM,propi_in
Rupji Castle,Parel,1 BHK,550 sqft,Fully Furnished,₹2.30 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Runwal Bliss - Phase 1,Kanjur Marg,2 BHK,,Semi-Furnished,₹1.95 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Vasant Utsav,Kandivali East,2 BHK,,Fully Furnished,₹55000,Listed 29 May 2026 · 12:00 AM,propi_in
Kaustubh Platinum,Borivali East,1 BHK,480 sqft,Semi-Furnished,₹1.41 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Oberoi Gardens,Kandivali East,3 BHK,1295 sqft,Semi-Furnished,₹4.30 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Rustomjee Pinnacle,Borivali East,2 BHK,815 sqft,Semi-Furnished,₹70000,Listed 29 May 2026 · 12:00 AM,propi_in
Oberoi Garden Estate,Andheri East,4.5 BHK,,Semi-Furnished,₹2 L,Listed 29 May 2026 · 12:00 AM,propi_in
Astron,Kandivali East,3 BHK,,Semi-Furnished,₹95000,Listed 29 May 2026 · 12:00 AM,propi_in
Prayag Heights,Goregaon East,1½ BHK,600 sqft,Semi-Furnished,₹1.55 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Conwood Astoria,Goregaon East,1 BHK,452 sqft,Semi-Furnished,₹1.25 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Gokul Concord,Kandivali East,2 BHK,800 sqft,Semi-Furnished,₹2.80 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
TW Gardens,Kandivali East,3 BHK,918 sqft,Fully Furnished,₹3.80 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Acme Oasis,Kandivali East,3 BHK,1020 sqft,Unfurnished,₹2.45 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Oberoi Woods,Goregaon East,2.5 BHK,992 sqft,Semi-Furnished,₹5.60 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
DB Woods,Goregaon East,4 BHK,1768 sqft,Fully Furnished,₹2 L,Listed 29 May 2026 · 12:00 AM,propi_in
Romell Aether,Goregaon East,3 BHK,981 sqft,Semi-Furnished,₹3.90 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Man Opus,Mira Road,1 BHK,713 sqft,Semi-Furnished,₹70 L,Listed 29 May 2026 · 12:00 AM,propi_in
The Grand Residences,Borivali East,5 BHK,2630 sqft,Semi-Furnished,₹9.00 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Gundecha Greens,Kandivali East,2.5 BHK,,Semi-Furnished,₹2.40 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Gundecha Trillium,Kandivali East,2.5 BHK,838 sqft,Semi-Furnished,₹4.41 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Vasant Sagar,Kandivali East,2 BHK,723 sqft,Semi-Furnished,₹2.75 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Bhoomi Valley,Kandivali East,2 BHK,600 sqft,Fully Furnished,₹1.70 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Today Imperia,Ulwe,2 BHK,,Semi-Furnished,₹1.63 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Siennaa,Kandivali East,1 BHK,400 sqft,Semi-Furnished,₹1.25 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Green Woods,Andheri East,2 BHK,624 sqft,Semi-Furnished,₹1.85 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Rushi Heights,Goregaon East,2 BHK,800 sqft,Fully Furnished,₹2.25 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Swapnalok Tower,Goregaon East,2 BHK,,Semi-Furnished,₹60000,Listed 29 May 2026 · 12:00 AM,propi_in
Rivali Park D,Borivali East,3 BHK,1201 sqft,Semi-Furnished,₹4.75 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Mahindra Gardens,Goregaon West,2 BHK,,Semi-Furnished,₹3.25 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Sanghvi Solitaire,Borivali East,3 BHK,,Unfurnished,₹70000,Listed 29 May 2026 · 12:00 AM,propi_in
Thakur Jewel,Kandivali East,3 BHK,1600 sqft,Semi-Furnished,₹3.70 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Evershine Millennium Paradise,Kandivali East,2 BHK,,Semi-Furnished,₹1.75 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Ekta Meadows,Kandivali East,1 BHK,,Semi-Furnished,₹1.38 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Dattani Park,Kandivali East,2 BHK,,Semi-Furnished,₹1.70 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
N G Suncity Phase I,Kandivali East,,,Semi-Furnished,₹69 L,Listed 29 May 2026 · 12:00 AM,propi_in
Heena Presidency,Mira Road,1 BHK,,Semi-Furnished,₹70 L,Listed 29 May 2026 · 12:00 AM,propi_in
Samarpan Exotica,Borivali East,2.5 BHK,805 sqft,Fully Furnished,₹3.50 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Avon Majesty,Borivali East,3 BHK,1180 sqft,Semi-Furnished,₹3.25 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Ekta Bhoomi Gardens,Borivali East,3 BHK,,Fully Furnished,₹80000,Listed 29 May 2026 · 12:00 AM,propi_in
Lodha Woods,Kandivali East,3.5 BHK,1121 sqft,Semi-Furnished,₹3.95 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Dattani Park,Kandivali East,,,Semi-Furnished,₹84 L,Listed 29 May 2026 · 12:00 AM,propi_in
Vasant Sagar,Kandivali East,1 BHK,,Semi-Furnished,₹25 L,Listed 29 May 2026 · 12:00 AM,propi_in
Omkareshwar,Borivali East,2 BHK,545 sqft,Semi-Furnished,₹1.65 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Gundecha Greens,Kandivali East,2 BHK,657 sqft,Semi-Furnished,₹1.85 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Oberoi Sky City,Borivali East,3 BHK,1100 sqft,Fully Furnished,₹3.10 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Kanakia Samarpan Exotica,Borivali East,2 BHK,750 sqft,Fully Furnished,₹55000,Listed 29 May 2026 · 12:00 AM,propi_in
West Side,Bandra West,3 BHK,1008 sqft,Semi-Furnished,₹3.80 Cr,Listed 29 May 2026 · 12:00 AM,propi_in
Bhoomi Gobind Bhavan,Khar West,3 BHK,1000 sqft,Semi-Furnished,₹4.50 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Juhu Gulmohar,Andheri West,2 BHK,800 sqft,Semi-Furnished,₹3.50 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Park Heights,Khar West,1 BHK,,Semi-Furnished,₹2 L,Listed 28 May 2026 · 10:00 PM,propi_in
Pali Hill Apartment,Bandra West,2 BHK,,Semi-Furnished,₹2 L,Listed 28 May 2026 · 10:00 PM,propi_in
Dango House,Bandra West,1 BHK,,Fully Furnished,₹55000,Listed 28 May 2026 · 10:00 PM,propi_in
Mohini Heights,Khar West,2 BHK,300 sqft,Semi-Furnished,₹2.50 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Bandra North,Bandra East,1 BHK,,Semi-Furnished,₹55000,Listed 28 May 2026 · 10:00 PM,propi_in
Shanti Garden,Mira Road,2 BHK,,Semi-Furnished,₹90 L,Listed 28 May 2026 · 10:00 PM,propi_in
Silver Park,Mulund West,1 BHK,,Semi-Furnished,₹50 L,Listed 28 May 2026 · 10:00 PM,propi_in
Red Rose Apartment,Khar West,3 BHK,1000 sqft,Fully Furnished,₹7.50 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Mount Mary Apartment,Bandra West,1.5 BHK,,Fully Furnished,₹70000,Listed 28 May 2026 · 10:00 PM,propi_in
