building,location,bhk,sqft,furnishing,price,listed_date,source
Sunteck Crest,Andheri East,,400 sqft,Fully Furnished,₹2 L,Listed 24 Apr 2026 · 01:12 PM,propi_in
Ashraya Heights,Goregaon East,1 BHK,454 sqft,Semi-Furnished,₹1.40 Cr,Listed 24 Apr 2026 · 01:11 PM,propi_in
Pil Court,Marine Lines,2 BHK,1565 sqft,Semi-Furnished,₹9.25 Cr,Listed 24 Apr 2026 · 01:08 PM,propi_in
Applaud 38,Goregaon East,3 BHK,1336 sqft,Semi-Furnished,₹3.37 Cr,Listed 24 Apr 2026 · 01:02 PM,propi_in
Chandak Stella,Goregaon West,2 BHK,712 sqft,Semi-Furnished,₹3.00 Cr,Listed 24 Apr 2026 · 12:59 PM,propi_in
Sahil Exotica,Powai,3 BHK,1085 sqft,Semi-Furnished,₹3.00 Cr,Listed 24 Apr 2026 · 12:56 PM,propi_in
Anmol Fortune,Goregaon West,2 BHK,689 sqft,Semi-Furnished,₹1.60 Cr,Listed 24 Apr 2026 · 12:54 PM,propi_in
L&T Emerald Isle,Powai,3 BHK,888 sqft,Semi-Furnished,₹2.55 Cr,Listed 24 Apr 2026 · 12:46 PM,propi_in
Sheth Zuri,Thane West,3 BHK,990 sqft,Semi-Furnished,₹2.00 Cr,Listed 24 Apr 2026 · 12:40 PM,propi_in
Bhoomi Pratishta,Borivali West,,1450 sqft,Semi-Furnished,₹6.53 Cr,Listed 24 Apr 2026 · 11:56 AM,propi_in
Park Reach,Bandra West,3 BHK,1300 sqft,Semi-Furnished,₹9.90 Cr,Listed 24 Apr 2026 · 11:50 AM,propi_in
Avisa,Bandra West,3 BHK,1600 sqft,Semi-Furnished,₹20.25 Cr,Listed 24 Apr 2026 · 11:50 AM,propi_in
Lalani Fairmont,Khar West,3 BHK,1400 sqft,Semi-Furnished,₹8.50 Cr,Listed 24 Apr 2026 · 11:48 AM,propi_in
Shewa,Khar West,2 BHK,585 sqft,Fully Furnished,₹2.25 Cr,Listed 24 Apr 2026 · 11:48 AM,propi_in
Arkade Aura,Santacruz West,2.5 BHK,906 sqft,Semi-Furnished,₹5.80 Cr,Listed 24 Apr 2026 · 11:46 AM,propi_in
Bandra Olympic,Bandra West,2.5 BHK,824 sqft,Semi-Furnished,₹5.00 Cr,Listed 24 Apr 2026 · 11:46 AM,propi_in
Universal Cubical,Jogeshwari,1 BHK,475 sqft,Fully Furnished,₹1.50 Cr,Listed 24 Apr 2026 · 11:14 AM,propi_in
Tropical Lagoon Bougainvillea,Thane West,2 BHK,840 sqft,Semi-Furnished,₹1.70 Cr,Listed 24 Apr 2026 · 10:56 AM,propi_in
Athena,Thane West,2 BHK,500 sqft,Fully Furnished,₹60000,Listed 24 Apr 2026 · 10:46 AM,propi_in
Runwal Anthurium,Mulund West,3.5 BHK,1225 sqft,Semi-Furnished,₹3.30 Cr,Listed 24 Apr 2026 · 10:36 AM,propi_in
Sugee Hiranya,Dadar West,1 BHK,500 sqft,Semi-Furnished,₹2.80 Cr,Listed 24 Apr 2026 · 09:52 AM,propi_in
DLH Signature,Bandra West,3 BHK,1415 sqft,Semi-Furnished,₹9.10 Cr,Listed 24 Apr 2026 · 09:00 AM,propi_in
Dhanashree Heights,Andheri West,,1000 sqft,Fully Furnished,₹3.85 Cr,Listed 24 Apr 2026 · 08:54 AM,propi_in
Sunteck Gilbird,Andheri West,2 BHK,677 sqft,Semi-Furnished,₹2.10 Cr,Listed 24 Apr 2026 · 07:54 AM,propi_in
Purvi,Andheri West,2 BHK,750 sqft,Semi-Furnished,₹3.25 Cr,Listed 24 Apr 2026 · 07:54 AM,propi_in
JP North,Mira Road,2 BHK,650 sqft,Semi-Furnished,₹1.05 Cr,Listed 24 Apr 2026 · 07:48 AM,propi_in
Abhishek,Andheri West,5 BHK,4200 sqft,Semi-Furnished,₹18.00 Cr,Listed 24 Apr 2026 · 07:46 AM,propi_in
Aarc Residency,Andheri West,1 BHK,470 sqft,Semi-Furnished,₹1.70 Cr,Listed 24 Apr 2026 · 06:58 AM,propi_in
Pegasus Tower,Andheri West,1 BHK,500 sqft,Semi-Furnished,₹1.70 Cr,Listed 24 Apr 2026 · 06:46 AM,propi_in
Jiten Chs,Andheri West,2 BHK,692 sqft,Semi-Furnished,₹2.10 Cr,Listed 24 Apr 2026 · 06:46 AM,propi_in
Tulip CHS,Andheri West,2 BHK,2400 sqft,Fully Furnished,₹65000,Listed 24 Apr 2026 · 06:36 AM,propi_in
Lodha Fiorenza,Goregaon East,2 BHK,900 sqft,Semi-Furnished,₹1 L,Listed 24 Apr 2026 · 06:32 AM,propi_in
Savannah Avalon,Andheri East,1 BHK,802 sqft,Semi-Furnished,₹1.40 Cr,Listed 24 Apr 2026 · 05:18 AM,propi_in
The Majestic,Prabhadevi,2.5 BHK,950 sqft,Semi-Furnished,₹5.20 Cr,Listed 24 Apr 2026 · 04:46 AM,propi_in
Eversun CHS,Andheri West,3 BHK,1300 sqft,Semi-Furnished,₹4.50 Cr,Listed 24 Apr 2026 · 04:44 AM,propi_in
Dharti Pressidio,Malad West,2 BHK,555 sqft,Semi-Furnished,₹1.40 Cr,Listed 24 Apr 2026 · 04:38 AM,propi_in
Vardhman Grandeur,Andheri West,3 BHK,845 sqft,Semi-Furnished,₹1 L,Listed 24 Apr 2026 · 04:28 AM,propi_in
Piramal Aranya,Byculla,4.5 BHK,2030 sqft,Semi-Furnished,₹4 L,Listed 24 Apr 2026 · 04:20 AM,propi_in
Shishira Tower,Andheri West,2 BHK,750 sqft,Fully Furnished,₹2.80 Cr,Listed 24 Apr 2026 · 03:40 AM,propi_in
La Serena,Andheri West,3 BHK,1000 sqft,Semi-Furnished,₹3.80 Cr,Listed 24 Apr 2026 · 03:34 AM,propi_in
Madhava,Bandra Kurla Complex,,590 sqft,Semi-Furnished,₹3.00 Cr,Listed 24 Apr 2026 · 03:08 AM,propi_in
Eco Residency,Andheri East,2 BHK,680 sqft,Semi-Furnished,₹2.50 Cr,Listed 24 Apr 2026 · 03:08 AM,propi_in
Tridhaatu Aaroha,Matunga,3 BHK,1100 sqft,Semi-Furnished,₹4.95 Cr,Listed 24 Apr 2026 · 02:24 AM,propi_in
Inez Tower,Mahim,3 BHK,1400 sqft,Semi-Furnished,₹4.60 Cr,Listed 24 Apr 2026 · 02:24 AM,propi_in
Sagar City Atlantic,Andheri West,3 BHK,800 sqft,Semi-Furnished,₹4.50 Cr,Listed 24 Apr 2026 · 02:20 AM,propi_in
Raj Tattva,Thane West,4 BHK,1402 sqft,Semi-Furnished,₹3.80 Cr,Listed 24 Apr 2026 · 01:30 AM,propi_in
