building_id,landmark_id,distance_m,walking_min,building_name,landmark_name
1883,LM-050,187,2,Anmol Fortune,Goregaon Station
1884,LM-050,187,2,Anmol Fortune Akshay Chs,Goregaon Station
1885,LM-050,187,2,Anmol Fortune F,Goregaon Station
1886,LM-050,187,2,Anmol Prestige,Goregaon Station
1887,LM-050,187,2,Anmol Pride,Goregaon Station
1888,LM-050,187,2,Anmol Tower,Goregaon Station
1889,LM-050,187,2,Archana,Goregaon Station
1890,LM-050,187,2,Ariha Vincere,Goregaon Station
1891,LM-050,187,2,Asmi Legacy,Goregaon Station
1892,LM-050,187,2,Asshna Samadhan,Goregaon Station
1893,LM-050,187,2,Athena,Goregaon Station
1894,LM-050,187,2,Aurum,Goregaon Station
1895,LM-050,187,2,Avalon Residency,Goregaon Station
1896,LM-050,187,2,Bharat Arize,Goregaon Station
1897,LM-050,187,2,Bhoomi Classic,Goregaon Station
1898,LM-050,187,2,Blue Excellency,Goregaon Station
1899,LM-050,187,2,Chandak Stella,Goregaon Station
1900,LM-050,187,2,DGS Sheetal Kiara,Goregaon Station
1901,LM-050,187,2,DLH Park,Goregaon Station
1902,LM-050,187,2,DPS Park View,Goregaon Station
1903,LM-050,187,2,Dattani Shelter,Goregaon Station
1904,LM-050,187,2,Dheeraj,Goregaon Station
1905,LM-050,187,2,Ekta Tripolis,Goregaon Station
1906,LM-050,187,2,Galaxy Heights,Goregaon Station
1907,LM-050,187,2,Garden Estate,Goregaon Station
1908,LM-050,187,2,Goregaon One,Goregaon Station
1909,LM-050,187,2,Gulmohar Apartment,Goregaon Station
1910,LM-050,187,2,HDIL Harmony,Goregaon Station
1911,LM-050,187,2,Happy Homes Enclave,Goregaon Station
1912,LM-050,187,2,Hari Niketan,Goregaon Station
1913,LM-050,187,2,Harmony,Goregaon Station
1914,LM-050,187,2,Imperial Heights,Goregaon Station
1915,LM-050,187,2,Kabra Aurum,Goregaon Station
1916,LM-050,187,2,Kalpataru Radiance,Goregaon Station
1917,LM-050,187,2,Kalpataru Yugdharma,Goregaon Station
1918,LM-050,187,2,Kapil Vastu,Goregaon Station
1919,LM-050,187,2,Kapilvastu CHS Ltd,Goregaon Station
1920,LM-050,187,2,Kolte Patil Verve,Goregaon Station
1921,LM-050,187,2,Konark Vaayu,Goregaon Station
1922,LM-050,187,2,Laxmi Heights,Goregaon Station
1923,LM-050,187,2,Laxmi namah,Goregaon Station
1924,LM-050,187,2,Lotus Residency,Goregaon Station
1925,LM-050,187,2,Madhuban Society,Goregaon Station
1926,LM-050,187,2,Mahindra Eminente,Goregaon Station
1927,LM-050,187,2,Mahindra Gardens,Goregaon Station
1928,LM-050,187,2,Meeras Empire,Goregaon Station
1929,LM-050,187,2,Navrang Navkar,Goregaon Station
1930,LM-050,187,2,Navrang Oasis,Goregaon Station
1931,LM-050,187,2,Nemi Bhavan,Goregaon Station
1932,LM-050,187,2,Nirlon,Goregaon Station
1933,LM-050,187,2,Nisha Residency,Goregaon Station
1934,LM-050,187,2,Nutan Annex,Goregaon Station
1935,LM-050,187,2,Oshiwara Mhada,Goregaon Station
1936,LM-050,187,2,Parekh Celeste,Goregaon Station
1937,LM-050,187,2,Pearl Classic,Goregaon Station
1938,LM-050,187,2,Polaris,Goregaon Station
1939,LM-050,187,2,Poonam Heights,Goregaon Station
1940,LM-050,187,2,Prabhat Co-operative Housing Society,Goregaon Station
1941,LM-050,187,2,Raheja Solitaire,Goregaon Station
1942,LM-050,187,2,Rahul C.H.S,Goregaon Station
1943,LM-050,187,2,Raj Spaces,Goregaon Station
1944,LM-050,187,2,Rexon Aura,Goregaon Station
1945,LM-050,187,2,Rustomjee Ozone,Goregaon Station
1946,LM-050,187,2,Samadhan,Goregaon Station
1947,LM-050,187,2,Samarth,Goregaon Station
1948,LM-050,187,2,Satyam,Goregaon Station
1949,LM-050,187,2,Sejal Tower,Goregaon Station
1950,LM-050,187,2,Sethia Green View,Goregaon Station
1951,LM-050,187,2,Sethia Link View,Goregaon Station
1952,LM-050,187,2,Sethia Sea View,Goregaon Station
1953,LM-050,187,2,Shepherd Residency,Goregaon Station
1954,LM-050,187,2,Shepherd Royal,Goregaon Station
1955,LM-050,187,2,Shreedham Classic,Goregaon Station
1956,LM-050,187,2,Shri Ganesh Apartment,Goregaon Station
1957,LM-050,187,2,Silver Sand,Goregaon Station
1958,LM-050,187,2,Silver Serene,Goregaon Station
1959,LM-050,187,2,Skyline Heights,Goregaon Station
1960,LM-050,187,2,Suntech City Avenue 2,Goregaon Station
