building_id,canonical_name,alias
1622,Waterfront Tower,Waterfront Towers
1652,Kohinoor Square,Kohinoor Square
1653,Aradhana Apartment,Aradhana Apt
1662,Island City Centre 1,Island City Centre 2
1667,One ICC,One ICC Tower
1679,Baya Sunrise,The Baya Sunrise
1685,Baya Park,Baya Park
1717,Crest,The Crest
1718,Ruby,The Ruby
1748,Ararat,Ararat building
1751,Soonawala,Soonawala Building
1752,Central,Central Building
1754,Gamdevi CHS,Gamdevi CHSL
1770,Wadhwa,Wadhwa The Address
1770,Wadhwa,Wadhwa
1776,Legend,The Legend
1791,Runwal Orchard,Runwal Orchard Residency
1793,Address - Boulevard,The Address - Boulevard
1794,Address - Vista,The Address - Vista
1795,Orchard Residency,The Orchard Residency
1799,Sea Pearl,Sea Pearl Building
1802,Odyssey,The Odyssey
1840,Lodha Fiorenza,Lodha Fiorenza Milano
1856,Raheja Heights,Raheja Heights Wing E
1865,Shagun Tower,Shagun Towers
1904,Dheeraj,Dheeraj Residency
1907,Garden Estate,Garden Estate Tower
1907,Garden Estate,Garden Estates
1913,Harmony,Harmony CHS
1916,Kalpataru Radiance,Kalpataru Radiance Ora
1938,Polaris,Polaris Tower
1943,Raj Spaces,Raj Spaces Tower
1957,Silver Sand,Silver Sands
1962,Sunteck City,Sunteck City Avenue
1965,Lion Park,The Lion Park
1966,Luxor,The Luxor
1988,Primordial House,The Primordial House
1989,Promordial House,The Promordial House
2003,Key Tech Park,Key Tech Park
2004,Lodha Bel Air,Lodha Bel Air
2005,Lodha Unica,Lodha Unica
2048,Green Field Society,Green Fields Society
2082,Kings Apartment,Kings
2098,Nidhi Tower,Nidhi Towers
2100,Oyster Shell I,Oyster Shell II
2108,Raheja,Raheja 7
2115,Rustomjee,Rustomjee 9
2115,Rustomjee,Rustomjee Elements
2141,Neptune,Neptune Tower
2148,Auriegae Residency,Aurigae Residency
2158,Epsilon,Epsilon Tower
2171,Kalpataru Gardens,Kalpataru
2228,Breezy Corner,Breezy Corner
2230,Dosti Oro,Dosti Oro 67
2233,Gaurav Garden,Gaurav Gardens
2240,Jeevan Deep,Jeevandeep
2241,Kalpavruksh Garden,Kalpavruksh Gardens
2266,Ruparel Sky Green,Ruparel Sky Greens
2300,Runwal Bliss,Runwal Bliss - Phase
2308,Fariyas,Fariyas Building
2319,Sukhmani,Sukhmani Building
2325,Azumi,Azumi
2326,Govind Kutir,Govind Kutir
2329,Rustomjee Paramount,Rustomjee Paramount
2330,Shree Shakti,Shree Shakti
2332,Trinity,Trinity
2333,Tulsi Apartment,Tulsi Apt
2348,Arihant,Arihant Apartment
2375,Crescent Heritage,Crescent Heritage Apartment
2385,Dunhill,Dunhill Apartment
2392,Elite Vista,Elite Vista Apartment
2421,Joy Legend,Joy Legend Apartment
2429,Kalpana,Kalpana
2526,Sadhana Apartment,Sadhana Apt
2527,Sagar Apartment,Sagar Apartment
2563,Sosar Solitaire,Sosar Solitare
2569,Suraj Ashiana,Suraj Ashiyana Apartment
2575,50 Seven,The 50 Seven
